,buggy_source_code,fixed_source_code,check1,check2
4121,"@java.lang.Override
public void onCreate(android.os.Bundle savedInstanceState) {
    super.onCreate(savedInstanceState);
    java.util.List<org.mixare.sectionedlist.Item> list;
    list = createList();
    sectionedListAdapter = new org.mixare.SectionedListAdapter(this.getActivity(), this.getActivity(), 0, list);
}","@java.lang.Override
public void onCreate(android.os.Bundle savedInstanceState) {
    super.onCreate(savedInstanceState);
}",-2,-2
5611,"@java.lang.Override
protected void initDefaultCommand() {
    setDefaultCommand(new org.usfirst.frc.team1719.robot.commands.SiloReject(this));
}","@java.lang.Override
protected void initDefaultCommand() {
}",-2,-2
5229,"@java.lang.Override
public void onResume() {
    super.onResume();
    if (co.smartreceipts.android.BuildConfig.DEBUG) {
        android.util.Log.d(co.smartreceipts.android.fragments.ReceiptsFragment.TAG, ""onResume"");
    }
}","@java.lang.Override
public void onResume() {
    super.onResume();
}",-2,-2
4008,"@java.lang.Override
public void onConfigured(@android.support.annotation.NonNull
android.hardware.camera2.CameraCaptureSession session) {
    onCaptureSessionConfigured(session, CameraDevice.TEMPLATE_PREVIEW);
    if ((mVideoRecorderStopped) != null) {
        mCurrentlyRecording = false;
        android.util.Log.d(com.dylankpowers.timelapse.TimeLapseCapture.TAG, ""Video recorder stopped."");
        mVideoRecorderStopped.onEvent();
        mVideoRecorderStopped = null;
    }
}","@java.lang.Override
public void onConfigured(@android.support.annotation.NonNull
android.hardware.camera2.CameraCaptureSession session) {
    onCaptureSessionConfigured(session, CameraDevice.TEMPLATE_PREVIEW);
}",-2,-2
907,"@java.lang.Override
public int getColumnCount() {
    gov.ornl.eden.DataTableModel.log.debug((""column count is "" + (dataModel.getColumnCount())));
    return dataModel.getColumnCount();
}","@java.lang.Override
public int getColumnCount() {
    return dataModel.getColumnCount();
}",-2,-2
900,"private void setInit() {
    android.graphics.drawable.Drawable drawable = rbBintang.getProgressDrawable();
    drawable.setColorFilter(android.graphics.Color.parseColor(""#f7961f""), PorterDuff.Mode.SRC_ATOP);
}","private void setInit() {
}",-2,-2
3485,"public java.util.Date next() {
    if (dayOfWeekField.isSkipWeek()) {
        return getNextRunTimeWithJumpWeekLimit();
    }else {
        return getNext();
    }
}","public java.util.Date next() {
    return next(null);
}",-2,-2
3324,"boolean equalPhoneNumber(TestOverload object) {
    return ((name) == (object.name)) && ((phoneNumber) == (object.phoneNumber));
}","boolean equalPhoneNumber(TestOverload object) {
    return (name.equals(object.name)) && (phoneNumber.equals(object.phoneNumber));
}",1,2
3664,"public boolean checkBounds(int index) {
    return ((this.start) <= index) && ((this.end) > index);
}","public boolean checkBounds(int index) {
    return (0 <= index) && ((this.count()) > index);
}",1,1
22,"@java.lang.Override
public void actionPerformed(java.awt.event.ActionEvent e) {
    editDraftBeer(draftBeerMasterSortedList.get(bottledBeerMasterListJTable.getSelectedRow()));
    draftBeerMasterSortedList.remove(bottledBeerMasterListJTable.getSelectedRow());
}","@java.lang.Override
public void actionPerformed(java.awt.event.ActionEvent e) {
}",-2,-2
3249,"protected void defaultSettings() {
    OGlobalConfiguration.TX_USE_LOG.setValue(true);
    OGlobalConfiguration.TX_COMMIT_SYNCH.setValue(true);
}","protected void defaultSettings() {
}",-2,-2
3538,"public static void fetchNotifications(com.frederic_rouffineau.singvibes.MainActivity a) {
    com.frederic_rouffineau.singvibes.logic.network.queries.news.NotificationsQuery q = new com.frederic_rouffineau.singvibes.logic.network.queries.news.NotificationsQuery();
    q.prepare(a);
    q.execute();
}","public static void fetchNotifications(com.frederic_rouffineau.singvibes.MainActivity a) {
    new com.frederic_rouffineau.singvibes.logic.network.queries.news.NotificationsQuery(a).execute();
}",-2,-2
1516,"private java.lang.String getHash(final jd.plugins.DownloadLink dl) {
    java.lang.String hash = dl.getStringProperty(""plain_id"", null);
    if (hash == null) {
        hash = dl.getStringProperty(""hash_main"", null);
    }
    return hash;
}","private java.lang.String getHash(final jd.plugins.DownloadLink dl) {
    final java.lang.String hash = dl.getStringProperty(""hash_main"", null);
    return hash;
}",-2,-2
1766,"public static void main(java.lang.String[] args) {
    clientSide.Client client;
    clientSide.Login login;
    client = new clientSide.Client(""127.0.0.1"");
    client.setDefaultCloseOperation(javax.swing.JFrame.EXIT_ON_CLOSE);
    client.startRunning();
}","public static void main(java.lang.String[] args) {
    clientSide.Login login;
    login = new clientSide.Login();
}",-2,-2
3603,"public java.lang.String message() {
    if ((this.message) != null) {
        return this.message;
    }else {
        return this.errorCode.message();
    }
}","public java.lang.String message() {
    return this.message;
}",-2,-2
