,buggy-org,buggy,fixed-org,fixed,check1,check2
2252,"public void METHOD_1 ( ) { TYPE_1 . METHOD_2 ( METHOD_3 ( ) , STRING_1 , VAR_1 ) . show ( ) ; VAR_2 . setEnabled ( true ) ; } 
","public void METHOD_1 ( ) { TYPE_1 . METHOD_2 ( METHOD_3 ( ) , STRING_1 , VAR_1 ) . show ( ) ; VAR_2 . setEnabled ( true ) ; } 
","public void METHOD_1 ( ) { TYPE_1 . METHOD_2 ( getContext ( ) , STRING_1 , VAR_1 ) . show ( ) ; VAR_2 . setEnabled ( true ) ; } 
","public void METHOD_1 ( ) { TYPE_1 . METHOD_2 ( METHOD_3 ( ) , STRING_1 , VAR_1 ) . show ( ) ; VAR_2 . setEnabled ( true ) ; } 
",-2,-2
1118,"private void METHOD_1 ( TYPE_1 VAR_1 , TYPE_2 < TYPE_1 > VAR_2 , TYPE_1 VAR_3 ) { VAR_4 = true ; METHOD_2 ( VAR_1 , VAR_2 ) ; } 
","private void METHOD_1 ( TYPE_1 VAR_1 , TYPE_2 < TYPE_1 > VAR_2 , TYPE_1 VAR_3 ) { VAR_4 = true ; METHOD_2 ( VAR_1 , VAR_2 ) ; } 
","private void METHOD_1 ( TYPE_1 VAR_1 , TYPE_2 < TYPE_1 > VAR_2 , TYPE_1 VAR_3 ) { VAR_4 = true ; VAR_2 . add ( VAR_1 ) ; } 
","private void METHOD_1 ( TYPE_1 VAR_1 , TYPE_2 < TYPE_1 > VAR_2 , TYPE_1 VAR_3 ) { VAR_4 = true ; VAR_2 . METHOD_2 ( VAR_1 ) ; } 
",-2,-2
2834,"public synchronized void METHOD_1 ( java.lang.String VAR_1 , TYPE_1 VAR_2 ) { VAR_3 . METHOD_2 ( new TYPE_2 < java.lang.String , TYPE_1 > ( VAR_1 , VAR_2 ) ) ; } 
","public synchronized void METHOD_1 ( java.lang.String VAR_1 , TYPE_1 VAR_2 ) { VAR_3 . METHOD_2 ( new TYPE_2 < java.lang.String , TYPE_1 > ( VAR_1 , VAR_2 ) ) ; } 
","public synchronized void METHOD_1 ( java.lang.String VAR_1 , TYPE_1 VAR_2 ) { VAR_3 . add ( new TYPE_2 < java.lang.String , TYPE_1 > ( VAR_1 , VAR_2 ) ) ; } 
","public synchronized void METHOD_1 ( java.lang.String VAR_1 , TYPE_1 VAR_2 ) { VAR_3 . METHOD_2 ( new TYPE_2 < java.lang.String , TYPE_1 > ( VAR_1 , VAR_2 ) ) ; } 
",-1,-1
4014,"public int METHOD_1 ( TYPE_1 VAR_1 ) { TYPE_1 VAR_2 = ( ( TYPE_1 ) ( VAR_3 . METHOD_2 ( ) . METHOD_3 ( VAR_1 ) ) ) ; return VAR_2 . getId ( ) ; } 
","public int METHOD_1 ( TYPE_1 VAR_1 ) { TYPE_1 VAR_2 = ( ( TYPE_1 ) ( VAR_3 . METHOD_2 ( ) . METHOD_3 ( VAR_1 ) ) ) ; return VAR_2 . getId ( ) ; } 
","public int METHOD_1 ( TYPE_1 VAR_1 ) { int id = ( ( java.lang.Integer ) ( VAR_3 . METHOD_2 ( ) . METHOD_3 ( VAR_1 ) ) ) ; return id ; } 
","public int METHOD_1 ( TYPE_1 VAR_1 ) { int VAR_2 = ( ( java.lang.Integer ) ( VAR_3 . METHOD_2 ( ) . METHOD_3 ( VAR_1 ) ) ) ; return id ; } 
",-2,-2
1881,"public boolean METHOD_1 ( TYPE_1 i ) { return VAR_1 . METHOD_2 ( i ) ; } 
","public boolean METHOD_1 ( TYPE_1 i ) { return VAR_1 . METHOD_2 ( i ) ; } 
","public boolean METHOD_1 ( TYPE_1 i ) { return VAR_1 . get ( i ) ; } 
","public boolean METHOD_1 ( TYPE_1 i ) { return VAR_1 . METHOD_2 ( i ) ; } 
",-1,-1
4981,"public int METHOD_1 ( ) { return ( ( int ) ( ( VAR_1 . getText ( ) . length ( ) ) == 0 ? VAR_2 . METHOD_2 ( ) . METHOD_3 ( VAR_3 ) : METHOD_4 ( ) ) ) ; } 
","public int METHOD_1 ( ) { return ( ( int ) ( ( VAR_1 . getText ( ) . length ( ) ) == 0 ? VAR_2 . METHOD_2 ( ) . METHOD_3 ( VAR_3 ) : METHOD_4 ( ) ) ) ; } 
","public int METHOD_1 ( ) { return ( ( int ) ( VAR_1 . getText ( ) . toString ( ) . trim ( ) . isEmpty ( ) ? 0 : METHOD_4 ( ) ) ) ; } 
","public int METHOD_1 ( ) { return ( ( int ) ( VAR_1 . getText ( ) . toString ( ) . METHOD_2 ( METHOD_3mpty ( ) ? 0 : METHOD_4 ( ) ) ) ; } 
",1,1
2014,"public void METHOD_1 ( ) { METHOD_2 ( STRING_1 , VAR_1 . METHOD_3 ( ) ) ; } 
","public void METHOD_1 ( ) { METHOD_2 ( STRING_1 , VAR_1 . METHOD_3 ( ) ) ; } 
","public void METHOD_1 ( ) { assertEquals ( STRING_1 , VAR_1 . METHOD_3 ( ) ) ; } 
","public void METHOD_1 ( ) { METHOD_2 ( STRING_1 , VAR_1 . METHOD_3 ( ) ) ; } 
",-2,-2
950,"public void METHOD_1 ( int VAR_1 , TYPE_1 VAR_2 ) { TYPE_2 VAR_3 = new TYPE_2 ( VAR_1 , VAR_2 ) ; VAR_3 . METHOD_2 ( ) ; VAR_4 . add ( VAR_3 ) ; } 
","public void METHOD_1 ( int VAR_1 , TYPE_1 VAR_2 ) { TYPE_2 VAR_3 = new TYPE_2 ( VAR_1 , VAR_2 ) ; VAR_3 . METHOD_2 ( ) ; VAR_4 . add ( VAR_3 ) ; } 
","public void METHOD_1 ( int VAR_1 , TYPE_1 VAR_2 ) { TYPE_2 VAR_3 = new TYPE_2 ( VAR_1 , VAR_2 ) ; VAR_3 . start ( ) ; VAR_4 . add ( VAR_3 ) ; } 
","public void METHOD_1 ( int VAR_1 , TYPE_1 VAR_2 ) { TYPE_2 VAR_3 = new TYPE_2 ( VAR_1 , VAR_2 ) ; VAR_3 . METHOD_2 ( ) ; VAR_4 . add ( VAR_3 ) ; } 
",-2,-2
2817,"public void METHOD_1 ( TYPE_1 result ) { if ( ! ( VAR_1 . METHOD_2 ( ) ) ) { VAR_1 . METHOD_3 ( VAR_2 ) ; } } 
","public void METHOD_1 ( TYPE_1 VAR_2 ) { if ( ! ( VAR_1 . METHOD_2 ( ) ) ) { VAR_1 . METHOD_3 ( VAR_2 ) ; } } 
","public void METHOD_1 ( TYPE_1 VAR_2 ) { if ( ! ( VAR_1 . METHOD_2 ( ) ) ) { VAR_1 . METHOD_3 ( VAR_2 ) ; } } 
","public void METHOD_1 ( TYPE_1 VAR_2 ) { if ( ! ( VAR_1 . METHOD_2 ( ) ) ) { VAR_1 . METHOD_3 ( VAR_2 ) ; } } 
",-2,-2
223,"protected synchronized void METHOD_1 ( ) { TYPE_1 . METHOD_2 ( this , STRING_1 , VAR_1 ) . show ( ) ; VAR_2 = new TYPE_2 ( this ) . METHOD_3 ( this ) . METHOD_4 ( this ) . METHOD_5 ( VAR_3 ) . build ( ) ; } 
","protected synchronized void METHOD_1 ( ) { TYPE_1 . METHOD_2 ( this , STRING_1 , VAR_1 ) . show ( ) ; VAR_2 = new TYPE_2 ( this ) . METHOD_3 ( this ) . METHOD_4 ( this ) . METHOD_5 ( VAR_3 ) . build ( ) ; } 
","protected synchronized void METHOD_1 ( ) { VAR_2 = new TYPE_2 ( this ) . METHOD_3 ( this ) . METHOD_5 ( VAR_3 ) . build ( ) ; } 
","protected synchronized void METHOD_1 ( ) { VAR_2 = new TYPE_2 ( this ) . METHOD_3 ( this ) . METHOD_5 ( VAR_3 ) . METHOD_5 ( ) ; } 
",0,0
5644,"public int METHOD_1 ( ) { return ( ( ( VAR_1 . METHOD_1 ( ) ) + ( VAR_2 . METHOD_1 ( ) ) ) + ( VAR_3 . size ( ) ) ) + ( VAR_4 . size ( ) ) ; } 
","public int METHOD_1 ( ) { return ( ( ( VAR_1 . METHOD_1 ( ) ) + ( VAR_2 . METHOD_1 ( ) ) ) + ( VAR_3 . METHOD_1 ( ) ) ) + ( VAR_METHOD_1size ( ) ) ; } 
","public int METHOD_1 ( ) { return ( ( ( VAR_1 . METHOD_1 ( ) ) + ( VAR_2 . METHOD_1 ( ) ) ) + ( VAR_3 . METHOD_1 ( ) ) ) + ( VAR_4 . METHOD_1 ( ) ) ; } 
","public int METHOD_1 ( ) { return ( ( ( VAR_1 . METHOD_1 ( ) ) + ( VAR_2 . METHOD_1 ( ) ) ) + ( VAR_3 . METHOD_1 ( ) ) ) + ( VAR_4 . METHOD_1 ( ) ) ; } 
",-1,-1
5546,"public static java.util.ArrayList < java.lang.String > METHOD_1 ( ) { java.util.ArrayList < java.lang.String > VAR_1 ; VAR_2 . METHOD_2 ( STRING_1 ) ; VAR_1 = ( ( java.util.ArrayList < java.lang.String > ) ( VAR_2 . METHOD_3 ( ) ) ) ; return VAR_1 ; } 
","public static java.util.ArrayList < java.lang.String > METHOD_1 ( ) { java.util.ArrayList < java.lang.String > VAR_1 ; VAR_2 . METHOD_2 ( STRING_1 ) ; VAR_1 = ( ( java.util.ArrayList < java.lang.String > ) ( VAR_2 . METHOD_3 ( ) ) ) ; return VAR_1 ; } 
","public static java.util.ArrayList < java.lang.String > METHOD_1 ( ) { java.util.ArrayList < java.lang.String > VAR_1 ; java.lang.String msg = STRING_1 ; VAR_2 . METHOD_2 ( msg ) ; VAR_1 = ( ( java.util.ArrayList < java.lang.String > ) ( VAR_2 . METHOD_3 ( ) ) ) ; return VAR_1 ; } 
","public static java.util.ArrayList < java.lang.String > METHOD_1 ( ) { java.util.ArrayList < java.lang.String > VAR_1 ; java.lang.String msg = STRING_1 ; VAR_2 . METHOD_2 ( STRING_1 ) ; VAR_1 = ( ( java.util.ArrayList < java.lang.String > ) ( VAR_2 . METHOD_3 ( ) ) ) ; return VAR_1 ; } 
",-2,-2
1504,"public void METHOD_1 ( android.view.View VAR_1 ) { METHOD_2 ( true ) ; } 
","public void METHOD_1 ( android.view.View VAR_1 ) { METHOD_2 ( true ) ; } 
","public void METHOD_1 ( android.view.View VAR_1 ) { java.lang.System.exit ( 0 ) ; } 
","public void METHOD_1 ( android.view.View VAR_1 ) { java.lang.System.METHOD_2 ( 0 ) ; } 
",-2,-2
848,"public void METHOD_1 ( int VAR_1 , int VAR_2 , java.lang.String VAR_3 ) { VAR_4 [ VAR_1 ] . add ( VAR_2 ) ; } 
","public void METHOD_1 ( int VAR_1 , int VAR_2 , java.lang.String VAR_3 ) { VAR_4 [ VAR_1 ] . add ( VAR_2 ) ; } 
","public void METHOD_1 ( int VAR_1 , int VAR_2 , char c ) { VAR_4 [ VAR_1 ] . add ( VAR_2 ) ; } 
","public void METHOD_1 ( int VAR_1 , int VAR_2 , char VAR_3 ) { VAR_4 [ VAR_1 ] . add ( VAR_2 ) ; } 
",-2,-2
5107,"void METHOD_1 ( java.lang.String VAR_1 ) { VAR_2 += VAR_1 ; } 
","void METHOD_1 ( java.lang.String VAR_1 ) { VAR_2 += VAR_1 ; } 
","public void setText ( java.lang.String text ) { VAR_2 = text ; } 
","public void METHOD_1 ( java.lang.String VAR_1 ) { VAR_2 = VAR_1 ; } 
",-2,-2
7,"public void METHOD_1 ( ) { VAR_1 . setText ( STRING_1 ) ; METHOD_2 ( ) ; } 
","public void METHOD_1 ( ) { VAR_1 . setText ( STRING_1 ) ; METHOD_2 ( ) ; } 
","public void METHOD_1 ( ) { label . setText ( STRING_1 ) ; METHOD_2 ( ) ; } 
","public void METHOD_1 ( ) { VAR_1 . setText ( STRING_1 ) ; METHOD_2 ( ) ; } 
",-2,-2
4521,"public boolean METHOD_1 ( int VAR_1 ) { return ( METHOD_2 ( ) . get ( VAR_1 ) ) != null ; } 
","public boolean METHOD_1 ( int VAR_1 ) { return ( METHOD_2 ( ) . get ( VAR_1 ) ) != null ; } 
","public boolean contains ( int VAR_1 ) { return ( METHOD_2 ( ) . get ( VAR_1 ) ) != null ; } 
","public boolean METHOD_1 ( int VAR_1 ) { return ( METHOD_2 ( ) . get ( VAR_1 ) ) != null ; } 
",-2,-2
2719,"public void METHOD_1 ( java.lang.String VAR_1 ) { VAR_2 . remove ( VAR_1 ) ; } 
","public void METHOD_1 ( java.lang.String VAR_1 ) { VAR_2 . remove ( VAR_1 ) ; } 
","public void METHOD_1 ( int id ) { VAR_2 . remove ( id ) ; } 
","public void METHOD_1 ( int VAR_1 ) { VAR_2 . remove ( VAR_1 ) ; } 
",-2,-2
4815,"public TYPE_1 METHOD_1 ( TYPE_2 VAR_1 ) { VAR_2 . METHOD_2 ( new TYPE_3 ( VAR_1 ) ) ; return TYPE_1 . METHOD_3 ( VAR_1 ) ; } 
","public TYPE_1 METHOD_1 ( TYPE_2 VAR_1 ) { VAR_2 . METHOD_2 ( new TYPE_3 ( VAR_1 ) ) ; return TYPE_1 . METHOD_3 ( VAR_1 ) ; } 
","public TYPE_1 METHOD_1 ( TYPE_2 VAR_1 ) { TYPE_3 result = VAR_2 . METHOD_2 ( new TYPE_3 ( VAR_1 ) ) ; return TYPE_1 . METHOD_3 ( result ) ; } 
","public TYPE_1 METHOD_1 ( TYPE_2 VAR_1 ) { TYPE_3 result = VAR_2 . METHOD_2 ( new TYPE_3 ( VAR_1 ) ) ; return TYPE_1 . METHOD_3 ( VAR_1 ) ; } 
",-2,-2
915,"public double METHOD_1 ( double a , double b , double VAR_1 , double VAR_2 , double VAR_3 , double t , double f ) { return java.lang.Math.pow ( ( VAR_3 / f ) , VAR_1 ) ; } 
","public double METHOD_1 ( double a , double b , double VAR_1 , double VAR_2 , double VAR_3 , double t , double f ) { return java.lang.Math.pow ( ( VAR_3 / VAR_3 ) , VAR_1 ) ; } 
","public double METHOD_1 ( double a , double b , double VAR_1 , double VAR_2 , double VAR_3 , double t , double f ) { return java.lang.Math.pow ( ( f / VAR_3 ) , VAR_1 ) ; } 
","public double METHOD_1 ( double a , double b , double VAR_1 , double VAR_2 , double VAR_3 , double t , double f ) { return java.lang.Math.pow ( ( VAR_3 / VAR_3 ) , VAR_1 ) ; } 
",-2,-2
2397,"public static int METHOD_1 ( int VAR_1 ) { return 0 ; } 
","public static int METHOD_1 ( int VAR_1 ) { return 0 ; } 
","public static int METHOD_1 ( int x , int y ) { return 0 ; } 
","public static int METHOD_1 ( int VAR_1 , int y ) { return 0 ; } 
",-2,-2
4461,"public static java.util.List < java.lang.String > METHOD_1 ( java.lang.String VAR_1 , java.lang.String VAR_2 ) { return TYPE_1 . METHOD_1 ( TYPE_1 . METHOD_2 ( VAR_1 ) , VAR_2 ) ; } 
","public static java.util.List < java.lang.String > METHOD_1 ( java.lang.String VAR_1 , java.lang.String VAR_2 ) { return TYPE_1 . METHOD_1 ( TYPE_1 . METHOD_2 ( VAR_1 ) , VAR_2 ) ; } 
","public static java.util.List < java.lang.String > METHOD_1 ( java.lang.String filePath , java.lang.String VAR_2 ) { return TYPE_1 . METHOD_1 ( TYPE_1 . METHOD_2 ( filePath ) , VAR_2 ) ; } 
","public static java.util.List < java.lang.String > METHOD_1 ( java.lang.String VAR_1 , java.lang.String VAR_2 ) { return TYPE_1 . METHOD_1 ( TYPE_1 . METHOD_2 ( VAR_1 ) , VAR_2 ) ; } 
",-2,-2
2038,"public void METHOD_1 ( double VAR_1 ) { if ( ( VAR_1 > 1 ) || ( VAR_1 < 0 ) ) { METHOD_2 ( STRING_1 ) ; } else { this . VAR_1 = VAR_1 ; } } 
","public void METHOD_1 ( double VAR_1 ) { if ( ( VAR_1 > 1 ) || ( VAR_1 < 0 ) ) { METHOD_2 ( STRING_1 ) ; } else { this . VAR_1 = VAR_1 ; } } 
","public void METHOD_1 ( double VAR_1 ) { if ( ( VAR_1 > 1 ) || ( VAR_1 < 0 ) ) { java.lang.System.out.println ( STRING_1 ) ; } else { this . VAR_1 = VAR_1 ; } } 
","public void METHOD_1 ( double VAR_1 ) { if ( ( VAR_1 > 1 ) || ( VAR_1 < 0 ) ) { java.lang.System.out.METHOD_2 ( STRING_1 ) ; } else { this . VAR_1 = VAR_1 ; } } 
",-1,-1
2301,"public boolean METHOD_1 ( java.io.File VAR_1 ) { return VAR_1 . METHOD_2 ( ) . equals ( STRING_1 ) ; } 
","public boolean METHOD_1 ( java.io.File VAR_1 ) { return VAR_1 . METHOD_2 ( ) . equals ( STRING_1 ) ; } 
","public boolean METHOD_1 ( java.io.File VAR_1 ) { return VAR_1 . getName ( ) . equals ( STRING_1 ) ; } 
","public boolean METHOD_1 ( java.io.File VAR_1 ) { return VAR_1 . METHOD_2 ( ) . equals ( STRING_1 ) ; } 
",-1,-2
852,"public java.util.ArrayList < TYPE_1 > METHOD_1 ( ) { try { METHOD_2 ( ) ; java.util.Collections.sort ( VAR_1 ) ; return VAR_1 ; } finally { METHOD_3 ( ) ; } } 
","public java.util.ArrayList < TYPE_1 > METHOD_1 ( ) { try { METHOD_2 ( ) ; java.util.Collections.sort ( VAR_1 ) ; return VAR_1 ; } finally { METHOD_3 ( ) ; } } 
","public int size ( ) { try { METHOD_2 ( ) ; return VAR_1 . size ( ) ; } finally { METHOD_3 ( ) ; } } 
","public int METHOD_1 ( ) { try { METHOD_2 ( ) ; return VAR_1 . size ( ) ; } finally { METHOD_3 ( ) ; } } 
",-2,-2
4385,"public void METHOD_1 ( ) { java.lang.String name = STRING_1 ; new TYPE_1 ( name ) ; } 
","public void METHOD_1 ( ) { java.lang.String name = STRING_1 ; new TYPE_1 ( STRING_1 ) ; } 
","public void METHOD_1 ( ) { new TYPE_1 ( STRING_1 ) ; } 
","public void METHOD_1 ( ) { new TYPE_1 ( STRING_1 ) ; } 
",-2,-2
5067,"public java.lang.Object METHOD_1 ( java.lang.Integer VAR_1 , int VAR_2 ) { return INT_1 ; } 
","public java.lang.Object METHOD_1 ( java.lang.Integer VAR_1 , int VAR_2 ) { return INT_1 ; } 
","public java.lang.Object METHOD_1 ( java.lang.Integer VAR_1 , int VAR_2 ) { return value ; } 
","public java.lang.Object METHOD_1 ( java.lang.Integer VAR_1 , int VAR_2 ) { return INT_1 ; } 
",-2,-2
4958,"public static int METHOD_1 ( TYPE_1 VAR_1 ) { TYPE_2 . METHOD_2 ( VAR_1 ) ; return ( TYPE_2 . type ) == ( VAR_2 ) ? VAR_3 : VAR_4 ; } 
","public static int METHOD_1 ( TYPE_1 VAR_1 ) { TYPE_2 . METHOD_2 ( VAR_1 ) ; return ( TYPE_2 . type ) == ( VAR_2 ) ? VAR_3 : VAR_4 ; } 
","public static int METHOD_1 ( android.content.Context context ) { TYPE_2 . METHOD_2 ( context ) ; return ( VAR_3 ) > ( VAR_4 ) ? VAR_3 : VAR_4 ; } 
","public static int METHOD_1 ( android.content.Context VAR_1 ) { TYPE_2 . METHOD_2 ( VAR_1 ) ; return ( VAR_3 ) > ( VAR_4 ) ? VAR_3 : VAR_4 ; } 
",-2,-2
5727,"public void METHOD_1 ( TYPE_1 error ) { TYPE_2 . METHOD_2 ( VAR_1 , java.lang.String.format ( STRING_1 , error . toString ( ) ) ) ; for ( TYPE_3 VAR_2 : VAR_3 ) { VAR_2 . METHOD_3 ( new TYPE_4 ( ) ) ; } } 
","public void METHOD_1 ( TYPE_1 error ) { TYPE_2 . METHOD_2 ( VAR_1 , java.lang.String.METHOD_3 ( STRING_1 , error . toString ( ) ) ) ; for ( TYPE_3 VAR_2 : VAR_3 ) { VAR_2 . METHOD_3 ( new TYPE_4 ( ) ) ; } } 
","public void METHOD_1 ( TYPE_1 error ) { for ( TYPE_3 VAR_2 : VAR_3 ) { VAR_2 . METHOD_3 ( new TYPE_4 ( error . toString ( ) ) ) ; } } 
","public void METHOD_1 ( TYPE_1 error ) { for ( TYPE_3 VAR_2 : VAR_3 ) { VAR_2 . METHOD_3 ( new TYPE_4 ( error . toString ( ) ) ) ; } } 
",-2,-2
3079,"private void METHOD_1 ( ) { VAR_1 . METHOD_2 ( true ) ; VAR_2 . METHOD_2 ( true ) ; VAR_3 . METHOD_2 ( true ) ; VAR_4 . setText ( STRING_1 ) ; VAR_5 = true ; } 
","private void METHOD_1 ( ) { VAR_1 . METHOD_2 ( true ) ; VAR_2 . METHOD_2 ( true ) ; VAR_3 . METHOD_2 ( true ) ; VAR_4 . METHOD_2 ( STRING_1 ) ; VAR_5 = true ; } 
","private void METHOD_1 ( ) { VAR_1 . METHOD_2 ( true ) ; VAR_2 . METHOD_2 ( true ) ; VAR_3 . METHOD_2 ( true ) ; VAR_4 . METHOD_2 ( true ) ; VAR_5 = true ; } 
","private void METHOD_1 ( ) { VAR_1 . METHOD_2 ( true ) ; VAR_2 . METHOD_2 ( true ) ; VAR_3 . METHOD_2 ( true ) ; VAR_4 . METHOD_2 ( true ) ; VAR_5 = true ; } 
",-1,-2
2670,"public TYPE_1 METHOD_1 ( ) { if ( VAR_1 . isEmpty ( ) ) throw new TYPE_2 ( ) ; return VAR_1 . METHOD_2 ( ) ; } 
","public TYPE_1 METHOD_1 ( ) { if ( VAR_1 . isEmpty ( ) ) throw new TYPE_2 ( ) ; return VAR_1 . METHOD_2 ( ) ; } 
","public TYPE_1 METHOD_1 ( ) { if ( VAR_1 . isEmpty ( ) ) throw new TYPE_2 ( ) ; return VAR_1 . first ( ) ; } 
","public TYPE_1 METHOD_1 ( ) { if ( VAR_1 . isEmpty ( ) ) throw new TYPE_2 ( ) ; return VAR_1 . METHOD_2 ( ) ; } 
",-2,-2
5019,"public TYPE_1 METHOD_1 ( java.lang.String VAR_1 ) { VAR_2 . append ( VAR_1 ) ; return this ; } 
","public TYPE_1 METHOD_1 ( java.lang.String VAR_1 ) { VAR_2 . append ( VAR_1 ) ; return this ; } 
","public TYPE_1 append ( java.lang.String VAR_1 ) { VAR_2 . append ( VAR_1 ) ; return this ; } 
","public TYPE_1 METHOD_1 ( java.lang.String VAR_1 ) { VAR_2 . append ( VAR_1 ) ; return this ; } 
",-2,-2
1642,"public static boolean isEmpty ( java.lang.String VAR_1 ) { return ( VAR_1 == null ) || ( ( VAR_1 . length ( ) ) == 0 ) ; } 
","public static boolean isEmpty ( java.lang.String VAR_1 ) { return ( VAR_1 == null ) || ( ( VAR_1 . length ( ) ) == 0 ) ; } 
","public static boolean isEmpty ( java.lang.String value ) { return ( value == null ) || ( ( value . length ( ) ) == 0 ) ; } 
","public static boolean isEmpty ( java.lang.String VAR_1 ) { return ( VAR_1 == null ) || ( ( VAR_1 . length ( ) ) == 0 ) ; } 
",-2,-2
838,"boolean METHOD_1 ( TYPE_1 VAR_1 ) ; 
","boolean METHOD_1 ( TYPE_1 VAR_1 ) ; 
","void METHOD_1 ( java.lang.Integer id ) ; 
","void METHOD_1 ( java.lang.Integer VAR_1 ) ; 
",-2,-1
3698,"private java.lang.String METHOD_1 ( java.lang.String VAR_1 ) { java.io.File VAR_2 = new java.io.File ( VAR_1 ) ; java.io.File f = new java.io.File ( STRING_1 ) ; return f . METHOD_2 ( ) ; } 
","private java.lang.String METHOD_1 ( java.lang.String VAR_1 ) { java.io.File VAR_2 = new java.io.File ( VAR_1 ) ; java.io.File f = new java.io.File ( STRING_1 ) ; return VAR_2 . METHOD_2 ( ) ; } 
","private java.lang.String METHOD_1 ( java.lang.String VAR_1 ) { java.io.File VAR_2 = new java.io.File ( VAR_1 ) ; return VAR_2 . METHOD_2 ( ) ; } 
","private java.lang.String METHOD_1 ( java.lang.String VAR_1 ) { java.io.File VAR_2 = new java.io.File ( VAR_1 ) ; return VAR_2 . METHOD_2 ( ) ; } 
",-2,-1
4079,"private static java.lang.String METHOD_1 ( java.lang.String format , java.lang.Object ... args ) { return java.lang.String.format ( format , args ) ; } 
","private static java.lang.String METHOD_1 ( java.lang.String format , java.lang.Object ... args ) { return java.lang.String.format ( format , args ) ; } 
","public static java.lang.String format ( java.lang.String format , java.lang.Object ... args ) { return java.lang.String.format ( format , args ) ; } 
","public static java.lang.String METHOD_1 ( java.lang.String format , java.lang.Object ... args ) { return java.lang.String.format ( format , args ) ; } 
",-2,-2
3681,"protected void METHOD_1 ( boolean VAR_1 ) { assert ! VAR_1 ; METHOD_2 ( ) ; } 
","protected void METHOD_1 ( boolean VAR_1 ) { assert ! VAR_1 ; METHOD_2 ( ) ; } 
","protected void execute ( ) { METHOD_2 ( ) ; } 
","protected void METHOD_1 ( ) { METHOD_2 ( ) ; } 
",-1,-2
1130,"public java.util.List < TYPE_1 > METHOD_1 ( java.lang.Long VAR_1 ) { java.util.List < TYPE_1 > VAR_2 = null ; try { VAR_2 = VAR_3 . METHOD_2 ( VAR_1 ) ; } catch ( java.lang.Exception VAR_4 ) { VAR_4 . METHOD_3 ( ) ; } return VAR_2 ; } 
","public java.util.List < TYPE_1 > METHOD_1 ( java.lang.Long VAR_1 ) { java.util.List < TYPE_1 > VAR_2 = null ; try { VAR_2 = VAR_3 . METHOD_2 ( VAR_1 ) ; } catch ( java.lang.Exception VAR_4 ) { VAR_4 . METHOD_3 ( ) ; } return VAR_2 ; } 
","public java.util.List < TYPE_1 > METHOD_1 ( java.lang.Long id ) { java.util.List < TYPE_1 > VAR_2 = null ; try { VAR_2 = VAR_3 . METHOD_2 ( id ) ; } catch ( java.lang.Exception VAR_4 ) { VAR_4 . METHOD_3 ( ) ; } return VAR_2 ; } 
","public java.util.List < TYPE_1 > METHOD_1 ( java.lang.Long VAR_1 ) { java.util.List < TYPE_1 > VAR_2 = null ; try { VAR_2 = VAR_3 . METHOD_2 ( VAR_1 ) ; } catch ( java.lang.Exception VAR_4 ) { VAR_4 . METHOD_3 ( ) ; } return VAR_2 ; } 
",-2,-2
4190,"public boolean METHOD_1 ( TYPE_1 VAR_1 ) { if ( ( VAR_1 . METHOD_2 ( ) ) == null ) return false ; for ( TYPE_2 VAR_2 : VAR_1 . METHOD_2 ( ) ) if ( VAR_2 . equals ( this ) ) return true ; return false ; } 
","public boolean METHOD_1 ( TYPE_1 VAR_1 ) { if ( ( VAR_1 . METHOD_2 ( ) ) == null ) return false ; for ( TYPE_2 VAR_2 : VAR_1 . METHOD_2 ( ) ) if ( VAR_2 . equals ( this ) ) return true ; return false ; } 
","public boolean METHOD_1 ( TYPE_1 VAR_1 ) { if ( ( VAR_1 . METHOD_2 ( ) ) == null ) return false ; for ( TYPE_2 obj : VAR_1 . METHOD_2 ( ) ) if ( obj . equals ( this ) ) return true ; return false ; } 
","public boolean METHOD_1 ( TYPE_1 VAR_1 ) { if ( ( VAR_1 . METHOD_2 ( ) ) == null ) return false ; for ( TYPE_2 VAR_2 : VAR_1 . METHOD_2 ( ) ) if ( VAR_2 . equals ( this ) ) return true ; return false ; } 
",-2,-2
3357,"public void METHOD_1 ( ) { TYPE_1 . METHOD_2 ( STRING_1 , VAR_1 ) ; VAR_2 . METHOD_3 ( ) ; super . METHOD_1 ( ) ; } 
","public void METHOD_1 ( ) { TYPE_1 . METHOD_2 ( STRING_1 , VAR_1 ) ; VAR_2 . METHOD_3 ( ) ; super . METHOD_1 ( ) ; } 
","public void METHOD_1 ( ) { TYPE_1 . i ( STRING_1 , VAR_1 ) ; VAR_2 . METHOD_3 ( ) ; super . METHOD_1 ( ) ; } 
","public void METHOD_1 ( ) { TYPE_1 . METHOD_2 ( STRING_1 , VAR_1 ) ; VAR_2 . METHOD_3 ( ) ; super . METHOD_1 ( ) ; } 
",-2,-1
